naics,soc4,prox,tot_emp,share,wt
221000,4330,56.0,80.0,0.01098901098901099,0.6153846153846154
221000,4340,59.333333333333336,260.0,0.03571428571428571,2.119047619047619
221000,4350,60.06666666666667,170.0,0.023351648351648352,1.4026556776556778
221000,4360,48.5,100.0,0.013736263736263736,0.6662087912087912
221000,4390,53.5,130.0,0.017857142857142856,0.9553571428571428
221000,4721,66.5,470.0,0.06456043956043957,4.293269230769231
221000,4910,69.0,500.0,0.06868131868131869,4.739010989010989
221000,4920,63.083333333333336,270.0,0.03708791208791209,2.339629120879121
221000,4930,55.266666666666666,90.0,0.012362637362637362,0.6832417582417581
221000,4990,65.84615384615384,2020.0,0.2774725274725275,18.270498732037193
221000,5110,65.0,130.0,0.017857142857142856,1.1607142857142856
221000,5141,52.625,90.0,0.012362637362637362,0.6505837912087912
221000,5180,60.90909090909091,710.0,0.09752747252747253,5.94030969030969
221000,5370,47.53333333333333,50.0,0.006868131868131868,0.32646520146520147
236000,1110,48.666666666666664,350.0,0.013079222720478326,0.6365221723966118
236000,1130,46.07142857142857,50.0,0.0018684603886397607,0.0860826393337604
236000,1190,56.46666666666667,1250.0,0.04671150971599402,2.6376432486297956
236000,1310,52.35,900.0,0.033632286995515695,1.7606502242152466
236000,1311,49.0,230.0,0.0085949177877429,0.42115097159940207
236000,1320,47.333333333333336,310.0,0.011584454409566517,0.5483308420528151
236000,1511,47.53846153846154,80.0,0.0029895366218236174,0.14211797171438428
236000,1710,48.4,100.0,0.0037369207772795215,0.18086696562032883
236000,1720,46.416666666666664,430.0,0.016068759342301942,0.7458582461385151
236000,1721,49.36,0.0,0.0,0.0
236000,1730,53.964285714285715,250.0,0.009342301943198805,0.504150651291907
236000,2710,48.36363636363637,30.0,0.0011210762331838565,0.05421932327761925
236000,3720,45.666666666666664,70.0,0.002615844544095665,0.11945690084703538
236000,4130,54.285714285714285,580.0,0.021674140508221227,1.1765961990177238
236000,4140,48.333333333333336,140.0,0.00523168908819133,0.25286497259591434
236000,4190,62.285714285714285,0.0,0.0,0.0
236000,4310,47.0,170.0,0.006352765321375187,0.2985799701046338
236000,4330,56.0,720.0,0.026905829596412557,1.5067264573991033
236000,4340,59.333333333333336,80.0,0.0029895366218236174,0.177379172894868
236000,4341,61.5,100.0,0.0037369207772795215,0.22982062780269058
236000,4350,60.06666666666667,80.0,0.0029895366218236174,0.17957149975087197
236000,4360,48.5,220.0,0.008221225710014948,0.398729446935725
236000,4390,53.5,1250.0,0.04671150971599402,2.49906576980568
236000,4710,74.5,2880.0,0.10762331838565023,8.017937219730943
236000,4720,69.05882352941177,15040.0,0.5620328849028401,38.81332981623143
